rep_num,mcv,peak_velocity,vl_percent
1,1.224,2.488,0.0
2,0.085,0.118,-93.0
3,0.156,0.267,-87.2
4,0.1,0.137,-91.8
5,0.072,0.11,-94.1
6,0.117,0.177,-90.4
7,0.086,0.106,-93.0
8,0.084,0.106,-93.1
9,0.061,0.086,-95.0
10,0.08,0.133,-93.5
11,0.07,0.082,-94.3
12,0.103,0.141,-91.6
13,0.074,0.098,-94.0
14,0.059,0.082,-95.2
15,0.059,0.094,-95.2
16,0.075,0.102,-93.9
17,0.119,0.157,-90.2
18,0.173,0.259,-85.8
19,0.075,0.098,-93.9
20,0.096,0.173,-92.2
21,0.108,0.153,-91.2
22,0.112,0.173,-90.9
23,0.111,0.157,-90.9
24,0.098,0.165,-92.0
25,0.081,0.137,-93.4
26,0.055,0.094,-95.5
1,0.101,0.118,0.0
1,1.185,2.66,0.0
2,0.232,0.416,-80.4
3,0.031,0.082,-97.4
4,0.189,0.275,-84.1
5,0.139,0.196,-88.3
6,0.083,0.114,-93.0
7,0.071,0.094,-94.0
8,0.092,0.114,-92.2
9,0.126,0.161,-89.3
10,0.082,0.129,-93.0
11,0.176,0.267,-85.2
12,0.072,0.129,-93.9
13,0.062,0.102,-94.8
14,0.09,0.145,-92.4
15,0.172,0.216,-85.5
16,0.089,0.177,-92.5
17,0.069,0.094,-94.2
18,0.098,0.129,-91.7
19,0.068,0.106,-94.3
20,0.081,0.094,-93.2
21,0.106,0.161,-91.0
22,0.124,0.173,-89.5
23,0.113,0.141,-90.5
24,0.125,0.161,-89.4
25,0.11,0.126,-90.7
26,0.085,0.122,-92.8
27,0.093,0.141,-92.1
28,0.054,0.11,-95.4
29,0.063,0.106,-94.7
30,0.095,0.149,-92.0
31,0.066,0.09,-94.5
32,0.057,0.082,-95.2
33,0.07,0.098,-94.1
34,0.114,0.141,-90.4
35,0.078,0.094,-93.4
36,0.115,0.173,-90.3
37,0.081,0.106,-93.2
38,0.08,0.118,-93.3
39,0.076,0.098,-93.6
40,0.078,0.102,-93.4
41,0.074,0.086,-93.8
42,0.059,0.086,-95.0
43,0.074,0.102,-93.8
44,0.084,0.118,-92.9
45,0.067,0.09,-94.4
46,0.067,0.082,-94.3
47,0.089,0.106,-92.5
1,0.816,2.295,0.0
